gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,9526.285092376722,3,0
10,24,False,False,21,managed throughout,5684.868949011052,4,0
11,25,False,False,21,managed throughout,2551.7249070963862,4,0
12,26,False,False,21,managed throughout,4698.19015564367,4,0
13,27,False,False,21,managed throughout,3821.915581011048,4,0
14,28,False,False,21,managed throughout,5323.637066908765,3,0
15,29,False,False,21,managed throughout,4867.42275301417,3,0
16,30,False,False,21,managed throughout,9581.12124518202,4,0
17,31,False,False,21,managed throughout,9854.106902843736,4,0
18,32,False,False,21,managed throughout,2955.5157344100726,4,0
19,33,False,False,21,managed throughout,1316.623899658804,4,0
20,34,False,False,21,managed throughout,2838.524011895221,4,0
32,46,False,False,21,managed throughout,9457.227039479825,4,0
33,47,False,False,21,managed throughout,8790.947122680638,4,0
34,48,False,False,21,managed throughout,4487.778982338753,4,0
35,49,False,False,21,managed throughout,5408.316925736773,3,0
36,50,False,False,21,managed throughout,7348.203001742065,3,0
37,51,False,False,21,managed throughout,9993.433824544232,3,0
38,52,False,False,21,managed throughout,11889.203683695232,4,0
39,53,False,False,21,managed throughout,5034.110187331871,4,0
40,54,False,False,21,managed throughout,7768.24393500412,4,0
41,55,False,False,21,managed throughout,13986.872437537577,4,0
42,56,False,False,21,managed throughout,12081.002751376562,4,0
43,57,False,False,21,managed throughout,9932.977022682215,4,0
44,58,False,False,21,managed throughout,10317.247549603011,4,0
45,59,False,False,21,managed throughout,11978.801463690186,4,0
46,60,False,False,21,managed throughout,19098.478937985605,4,0
47,61,False,False,21,managed throughout,1858.500988386429,2,0
48,62,False,False,21,managed throughout,19332.888204051418,4,0
49,63,False,False,21,managed throughout,16952.608039776853,4,0
50,64,False,False,21,managed throughout,17749.06270428061,4,0
51,65,False,False,21,managed throughout,19050.360755912676,4,0
52,66,False,False,21,managed throughout,15580.592425945706,3,0
53,67,False,False,21,managed throughout,17819.227561646105,4,0
54,68,False,False,21,managed throughout,11453.41419484981,4,0
55,69,False,False,21,managed throughout,12825.34340595748,4,0
56,70,False,False,21,managed throughout,10510.418543743204,4,0
57,71,False,False,21,managed throughout,12691.371360860567,4,0
58,72,False,False,21,managed throughout,8907.506810998453,4,0
59,73,False,False,21,managed throughout,9190.114347272895,4,0
60,74,False,False,21,managed throughout,7800.04576045232,4,0
61,75,False,False,21,managed throughout,3959.267489194534,4,0
62,76,False,False,21,managed throughout,9159.225235486127,4,0
63,77,False,False,21,managed throughout,9901.125652595161,4,0
64,78,False,False,21,managed throughout,8592.940991049529,4,0
65,79,False,False,21,managed throughout,5273.461142932489,4,0
66,80,False,False,21,managed throughout,5177.312184518648,4,0
67,81,False,False,21,managed throughout,4476.0230294066205,4,0
89,103,False,False,21,managed throughout,4608.519888733436,4,0
90,104,False,False,21,managed throughout,4121.5634537671995,7,0
